CaseID,Feature__INTENSITY-HISTOGRAM_IntensityHistogramMean(IBSI:X6K6)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramVariance(IBSI:CH89)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramSkewness(IBSI:88K1)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramKurtosis(IBSI:C3I7)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMedian(IBSI:WIFQ)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogram10thPercentile(IBSI:GPMT)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram25thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram50thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram75thPercentile(IBSI:No)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogram90thPercentile(IBSI:OZ0C)[],Feature__INTENSITY-HISTOGRAM_IntensityHistogramStd(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMode(IBSI:AMMC)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramInterquartileRange(IBSI:WR0O)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMeanAbsoluteDeviation(IBSI:D2ZX)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramRobustMeanAbsoluteDeviation(IBSI:WRZB)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramMedianAbsoluteDeviation(IBSI:4RNL)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramCoefficientOfVariation(IBSI:CWYJ)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramQuartileCoefficientOfDispersion(IBSI:SLWD)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog10(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog2(IBSI:TLU2)[Intensity],Feature__INTENSITY-HISTOGRAM_AreaUnderCurveCIVH(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_Uniformity(IBSI:BJ5W)[Intensity],Feature__INTENSITY-HISTOGRAM_RootMeanSquare(IBSI:No)[Intensity],Feature__INTENSITY-HISTOGRAM_MaximumHistogramGradient(IBSI:12CE)[Intensity],Feature__INTENSITY-HISTOGRAM_MaximumHistogramGradientGreyLevel(IBSI:8E6O)[Intensity],Feature__INTENSITY-HISTOGRAM_MinimumHistogramGradient(IBSI:VQB3)[Intensity],Feature__INTENSITY-HISTOGRAM_MinimumHistogramGradientGreyLevel(IBSI:RHQZ)[Intensity]
18,28.08208487,252.4898979,0.268524212,-1.275345322,25,9,14,25,44,50,15.88993071,10,30,14.08000683,11.80820449,13.86256392,0.565838711,0.517241379,1.719592356,5.71236216,87.31773263,0.02128716,0.000564,607.0,9,-458.5,10
19,27.7905173,343.9029279,0.046292026,-1.151395411,28,1,11,28,44,52,18.54461992,1,33,15.78383147,14.3093447,15.77556765,0.667300278,0.6,1.659969185,5.514298273,110.2936155,0.036305091,0.000615,1572.5,3,-14196.0,1
20,29.80506489,102.40969,0.435317021,0.047933605,28,18,23,28,37,43,10.11976729,28,14,8.091340235,5.769648268,8.003183042,0.339531799,0.233333333,1.589016531,5.278598658,108.9747685,0.031189613,0.001044493,421.0,19,-336.5,26
21,29.29790473,214.4084284,0.103276769,-1.021310945,29,11,16,29,42,48,14.64269198,15,26,12.78913484,10.48611405,12.78169945,0.49978632,0.448275862,1.699612902,5.64599185,116.2760594,0.02225263,0.000944,434.5,14,-308.0,1
22,23.96069315,242.7819715,0.446038946,-0.884296295,20,5,9,20,37,47,15.58146243,3,28,13.5525371,11.16886612,13.36846999,0.650292641,0.608695652,1.654249818,5.495298945,77.49786692,0.02762827,0.001528215,307.0,7,-307.0,9
23,25.26939366,97.56586461,0.493301503,1.157659701,25,14,19,25,30,36,9.87754345,26,11,7.39451772,4.746809424,7.390504872,0.390889611,0.224489796,1.567700061,5.207786877,99.89307182,0.033504399,0.000433,2022.0,25,-1549.0,1
24,24.36183502,119.3986321,0.697447105,0.996606704,23,12,17,23,29,38,10.92696811,22,12,8.168010679,5.159439105,8.115796857,0.448528122,0.260869565,1.593234328,5.292609875,95.92472538,0.031704841,0.000422,2206.0,14,-2580.0,1
25,20.93688429,110.1665271,0.636600347,1.538850082,20,9,15,20,27,33,10.49602435,15,12,8.024872374,5.451262299,8.017556561,0.501317398,0.285714286,1.550632288,5.151088961,83.09325953,0.033485994,0.000465,3080.0,14,-7242.0,1
26,24.74963673,144.0760992,0.374498842,0.469717996,25,9,17,25,32,39,12.00317038,25,15,9.263414627,6.295307817,9.261010277,0.484983699,0.306122449,1.631229519,5.41882717,98.22512079,0.027240638,0.000424,1783.0,3,-5188.0,1
27,30.4207971,97.80928561,0.184565651,0.794972103,30,19,25,30,36,42,9.889857714,34,11,7.476802281,4.812388342,7.47364374,0.32510186,0.180327869,1.580921476,5.251707466,117.8805888,0.033281539,0.000386,3688.0,33,-2872.0,36
28,30.18188212,98.82394856,0.201229109,0.832630624,30,18,25,30,36,42,9.941023517,29,11,7.460823401,4.824640419,7.45097421,0.329370563,0.180327869,1.585544826,5.267065903,119.7843447,0.032790578,0.000364,3044.5,24,-2583.5,30
29,27.83677833,122.3879465,0.622973678,-0.153422712,25,15,20,25,35,44,11.06290859,25,15,8.986593177,6.478110123,8.632691851,0.39742058,0.272727273,1.589125715,5.27896136,64.80749955,0.033880925,0.001158277,512.5,22,-553.5,26
30,27.46158883,105.1365647,0.493738094,0.129778998,26,15,21,26,34,42,10.25361228,25,13,8.058203552,5.632734342,7.922850284,0.373380154,0.236363636,1.594484229,5.296761958,84.5302031,0.031210067,0.001304938,244.5,19,-185.0,26
31,23.8707243,127.9500623,0.787508282,-0.192779948,21,12,15,21,32,41,11.31150133,12,17,9.39628656,6.991548169,8.979613839,0.473865023,0.361702128,1.585713995,5.26762787,73.85005329,0.032456784,0.001261171,537.5,11,-272.0,19
32,24.14141926,124.2227472,0.54824627,0.272730363,23,11,16,23,32,38,11.14552588,15,16,9.066167638,6.580701652,9.020772115,0.461676497,0.333333333,1.612520292,5.35667646,95.81125768,0.028500816,0.000981,578.5,14,-363.0,16
33,23.10081725,177.6989383,0.720731731,-0.088063756,20,9,12,20,33,41,13.33037653,15,21,11.16848329,8.425167805,10.88762858,0.577052162,0.466666667,1.640848627,5.450781154,91.68136845,0.027771222,0.001398766,264.0,14,-241.0,16
34,26.57053055,196.659911,-0.066930558,-0.726470593,27,6,16,27,37,45,14.02354845,1,21,11.77483625,9.079340398,11.76338949,0.52778579,0.396226415,1.658263451,5.508631947,104.2062995,0.025587188,0.001793571,74.5,15,-562.0,1
35,32.04229798,176.8378573,0.04552005,-0.894432189,32,15,21,32,43,49,13.29803961,20,22,11.3776502,8.993084285,11.3772096,0.415015166,0.34375,1.689516492,5.6124523,85.11235401,0.022439914,0.001881928,66.5,7,-57.0,21
36,28.6087963,152.5480592,-0.227005131,-0.532710827,30,10,20,30,38,43,12.35103474,37,18,10.10273665,7.411988205,10.03559028,0.43172158,0.310344828,1.658933072,5.510856381,77.78016493,0.025764329,0.001930668,99.5,36,-105.0,38
37,19.45127646,293.3061565,0.362058221,-0.971380709,22,1,1,22,32,42,17.12618336,1,31,15.18749186,13.46562427,15.13309465,0.880465783,0.939393939,1.326651362,4.407040432,75.0697701,0.14629807,0.004772177,54.5,23,-2361.0,1
38,17.4809572,299.4279319,0.895554467,-0.119823526,13,1,1,13,29,43,17.30398601,1,28,14.4375856,11.22356851,14.10616785,0.989876345,0.933333333,1.401321362,4.655088802,68.558129,0.120055642,0.00449798,147.5,3,-1957.0,1
39,30.70565749,182.6845144,0.196570472,-0.954734461,31,14,18,31,41,51,13.51608354,16,23,11.53774935,9.507858415,11.53414883,0.440182189,0.389830508,1.683574426,5.592713185,107.9495771,0.023800288,0.001741452,141.5,13,-76.0,17
40,27.29726595,197.2190066,0.363961125,-0.433300918,26,10,17,26,37,46,14.04346847,17,20,11.63285557,8.75696848,11.58458989,0.514464287,0.37037037,1.697873222,5.640212759,108.3360242,0.022020594,0.001910187,68.0,3,-108.0,1
41,24.00134747,184.8842059,0.467649362,-0.512387373,22,9,13,22,35,42,13.59721317,14,22,11.4877618,8.831416452,11.38432746,0.566518742,0.458333333,1.639514767,5.446350167,91.88015827,0.026854133,0.000897,881.0,13,-951.0,1
42,25.4245079,205.5967777,0.258090213,-0.650829925,25,6,15,25,35,46,14.3386463,1,20,11.82113812,9.18883006,11.7948302,0.563969472,0.4,1.686060715,5.60097246,100.9035157,0.022946135,0.001113943,333.0,3,-849.0,1
43,23.514818,275.1992394,-0.066878597,-1.220135942,26,1,5,26,37,44,16.58913016,1,32,14.50529519,13.48359164,14.37045007,0.705475592,0.761904762,1.467917428,4.876316145,68.70735885,0.072967557,0.002118123,252.5,4,-3895.0,1
44,26.77923729,152.2463486,0.188772832,-0.598295525,27,10,16,27,36,42,12.33881471,34,20,10.42880523,8.168695614,10.42042373,0.460760498,0.384615385,1.65967987,5.513337188,53.97690016,0.0251026,0.001031344,257.5,29,-278.0,20
45,23.72735709,82.7381415,0.537206291,0.152722881,22,13,17,22,30,36,9.096050874,17,13,7.35397707,5.403884162,7.260545309,0.383357103,0.276595745,1.526011899,5.0693018,85.27018953,0.036550274,0.000647,1817.0,16,-2172.5,18
46,25.13404876,78.53422863,0.388359365,0.410441878,25,14,19,25,31,36,8.861953996,26,12,7.011773781,5.122276528,7.008544988,0.352587603,0.24,1.535228147,5.099917514,98.96531701,0.034925153,0.000454,3292.5,14,-2073.0,23
47,23.80597129,73.925683,0.662025323,0.83055881,22,14,18,22,29,35,8.598004594,20,11,6.843397112,4.850909802,6.728421053,0.361170082,0.234042553,1.505714265,5.001874521,90.01632895,0.037833134,0.000851,1122.0,19,-651.5,27
48,23.09735569,98.91143378,0.624744419,0.417284461,22,12,16,22,29,37,9.945422755,15,13,7.868098558,5.55888254,7.767426588,0.430587072,0.288888889,1.561671351,5.187759936,87.3368762,0.032812652,0.000663,1465.5,14,-744.5,27
49,26.88678004,105.8128683,0.286228536,-0.29111323,26,14,19,26,34,40,10.28653821,26,15,8.448015577,6.326389037,8.419172108,0.382587212,0.283018868,1.599653504,5.313933918,101.665637,0.028538081,0.000417,1981.5,14,-1825.0,27
50,15.05102085,245.5302862,0.699089245,-0.756274984,9,1,1,9,29,37,15.66940606,1,28,13.90944267,11.39903877,13.48865961,1.041085931,0.933333333,1.213226652,4.0302517,59.73373901,0.202650396,0.002100239,608.5,3,-20263.0,1
51,20.02436348,282.2796961,0.465904938,-0.890089478,20,1,4,20,32,44,16.80118139,1,28,14.36273684,12.32997329,14.36172081,0.839036977,0.777777778,1.491860405,4.955852992,77.90728915,0.074073923,0.002851188,334.5,3,-2177.0,1
52,26.71348315,173.4295818,0.20217105,-0.903004819,29,11,13,29,37,43,13.16926656,11,24,11.61597316,9.854148043,11.55939005,0.492982008,0.48,1.591248808,5.286014122,98.08857093,0.033277926,0.001558198,535.0,10,-346.0,13
53,32.95527868,139.0169599,-0.08727103,-0.656110486,34,17,24,34,42,49,11.79054536,39,18,9.738579654,7.318990382,9.732213796,0.357774106,0.272727273,1.658638836,5.509878948,68.48518851,0.024798986,0.001221743,125.0,31,-135.0,27
54,27.30974247,137.0251541,0.006661858,-0.979015657,28,12,17,28,37,43,11.70577439,13,20,10.08655244,8.343255047,10.08039065,0.428629981,0.37037037,1.635370761,5.432584078,81.07579794,0.02570938,0.000504,1530.0,12,-971.5,14
55,24.08901031,108.5316243,0.072280479,-0.819455801,24,10,15,24,33,38,10.41785123,10,18,8.975590851,7.695889366,8.974320467,0.432473194,0.375,1.562593621,5.19082365,80.54762822,0.030982115,0.000574,2531.5,9,-1804.5,11
56,30.94486912,65.7923898,0.429903127,-0.157877892,30,21,25,30,37,42,8.111250816,27,12,6.675403163,4.947962209,6.60395159,0.262119409,0.193548387,1.486177885,4.936976071,113.6256913,0.038879992,0.000662,2266.0,26,-1541.5,27
57,26.93170993,85.39666552,-0.024294243,-0.259360712,28,14,20,28,33,38,9.241031626,31,13,7.496590348,5.567278803,7.444170904,0.343128292,0.245283019,1.547864176,5.141893494,106.4644158,0.032796466,0.000382,2649.0,14,-1666.5,34
58,23.85052448,112.6261182,0.022679199,-0.906269651,24,10,15,24,33,38,10.61254532,25,18,9.063341223,7.238487742,9.059192351,0.444960669,0.375,1.595292893,5.299448281,77.51420455,0.027461368,0.000544,1123.5,24,-1119.5,11
59,29.20488422,118.2867644,0.136065152,-0.61743539,29,15,21,29,37,44,10.87597188,23,16,8.980157664,6.702018256,8.973804454,0.3724025,0.275862069,1.633473642,5.426281982,91.72158949,0.025760225,0.000756,390.5,11,-324.0,24
60,28.18516547,112.0148221,0.175795637,-0.495950487,28,14,20,28,36,42,10.5837055,25,16,8.715161866,6.473944259,8.712492237,0.37550624,0.285714286,1.619340457,5.379332558,91.60178777,0.027094564,0.000775,446.5,24,-415.0,26
61,22.95052677,104.16688,-0.008460413,-0.661000447,23,9,16,23,31,37,10.20621771,21,15,8.480570393,6.711890752,8.48015986,0.444705162,0.319148936,1.583322027,5.259681926,70.28598822,0.028819392,0.000541,1644.0,16,-1394.5,22
62,33.33172076,139.8316025,-0.091156594,-0.631344115,34,17,25,34,42,49,11.82504133,35,17,9.688051213,7.220803231,9.68273117,0.354768403,0.253731343,1.661718677,5.520109959,68.74667407,0.024725253,0.001230488,182.5,15,-136.5,36
63,24.76785038,113.4724797,0.33839919,-0.415576169,24,11,17,24,33,40,10.6523462,11,16,8.851687462,7.146810241,8.832054924,0.430087635,0.32,1.576890949,5.238318345,93.65343424,0.029354209,0.001178931,373.0,11,-279.5,27
64,21.16696196,81.71803303,0.150067024,-0.047754486,21,8,15,21,29,33,9.03980271,18,14,7.511681702,6.133131623,7.50661803,0.427071335,0.318181818,1.521535778,5.05443245,66.14675612,0.033713071,0.001874462,172.0,17,-150.0,23
65,28.98341528,160.6154326,0.124111202,-1.014393468,30,13,17,30,40,46,12.6734144,14,23,10.87639101,8.877736982,10.85238538,0.437264355,0.403508772,1.653698215,5.493466562,57.96683056,0.025166169,0.000818,556.0,13,-519.5,15
66,21.1121852,112.2927072,0.509314012,0.014428401,20,8,13,20,28,36,10.59682534,22,15,8.593827341,6.345027283,8.573129485,0.501929347,0.365853659,1.605976646,5.334938939,64.32618928,0.028622084,0.000809,590.0,10,-442.5,23
67,24.51179802,110.9815739,-0.096234915,-0.572431284,26,11,16,26,33,37,10.53477925,29,17,8.989995125,6.951914472,8.890868334,0.429784027,0.346938776,1.556052313,5.169093896,92.68523626,0.030546749,0.000949,679.5,8,-557.0,1
68,35.32428922,177.5748192,-0.17600345,-1.003107214,38,17,24,38,45,53,13.32572021,24,21,11.478225,9.170148069,11.3405109,0.377239585,0.304347826,1.604312877,5.329412019,89.96654911,0.027742616,0.000895,752.0,14,-440.5,29
69,23.69091707,189.4112105,0.015931615,-0.873659932,25,4,12,25,34,42,13.76267454,1,22,11.58072106,9.109691336,11.55123592,0.580926205,0.47826087,1.615404237,5.36625672,89.58128017,0.028589059,0.000914,717.5,3,-2867.0,1
70,33.34827264,125.7595919,-0.181049878,-0.126468116,35,16,26,35,41,46,11.21425842,38,15,8.858418686,6.693987521,8.735360811,0.33627704,0.223880597,1.615113628,5.365291336,104.213352,0.030325642,0.002011228,101.0,29,-106.5,39
71,27.80691917,127.4490719,0.126694051,0.104548772,28,13,20,28,35,42,11.28933443,26,15,8.877579776,6.270543564,8.872513754,0.405990119,0.272727273,1.640178947,5.448556525,79.94489262,0.027192789,0.001696153,151.5,25,-99.0,31
72,35.39816772,174.9599966,-0.052099859,-0.895511064,35,17,25,35,46,53,13.22724448,29,21,11.27024639,8.830739528,11.27019027,0.373670315,0.295774648,1.697409243,5.638671451,84.62374471,0.022156806,0.001249575,138.0,23,-97.0,37
73,33.19009838,165.2511365,-0.104454338,-0.806284301,33,15,24,33,43,50,12.85500434,27,19,10.84097457,8.575061027,10.84043161,0.387314439,0.28358209,1.68372521,5.593214078,80.38226952,0.023495465,0.001221189,170.0,26,-184.0,44
74,29.83845558,98.34352289,0.483147776,0.662759885,30,18,23,30,35,42,9.916830284,30,12,7.647908776,5.257697404,7.646392906,0.332350656,0.206896552,1.582401551,5.256624169,85.31933392,0.031733371,0.001168732,304.0,17,-329.5,35
75,29.42411038,150.5123357,0.31673201,-0.263745513,29,13,21,29,37,46,12.2683469,29,16,9.822448965,7.017500003,9.792060034,0.416948779,0.275862069,1.675880031,5.567152957,81.37605528,0.024462148,0.001216717,138.5,23,-151.5,34
76,27.45562423,87.42443162,0.128111292,-0.180038063,28,14,21,28,34,39,9.350103294,29,13,7.535801198,5.595222791,7.519721788,0.340553295,0.236363636,1.565838869,5.201604132,102.5295967,0.031212122,0.000467,1643.5,28,-1335.5,30
77,26.03294821,91.63658326,0.188247802,-0.271083861,26,13,19,26,32,39,9.572699894,29,13,7.723324189,5.802864943,7.722226942,0.367714783,0.254901961,1.579204659,5.246004325,94.36943725,0.029994379,0.000461,1159.0,10,-712.0,32
78,26.54037505,101.7642215,0.455358028,0.189601493,26,14,19,26,33,39,10.08782541,29,14,8.145034634,5.965992652,8.136334438,0.380093551,0.269230769,1.597720967,5.307514167,96.20885956,0.029436966,0.000552,1130.5,15,-531.5,18
79,29.56202833,86.79161966,0.228008767,-0.218180359,29,18,23,29,36,42,9.316201998,25,13,7.509207909,5.436278174,7.48172368,0.315140825,0.220338983,1.571016922,5.21880525,114.5528598,0.031158318,0.00052,1323.0,24,-953.0,31
80,27.75320254,85.65156887,0.014730387,-0.46343346,28,16,21,28,35,40,9.254813281,31,14,7.655531022,5.801476887,7.648827165,0.3334683,0.25,1.568838392,5.211568331,103.2072219,0.030176667,0.000496,1012.5,16,-1008.0,24
81,26.44079992,81.11344148,0.283553383,0.565049128,26,15,21,26,32,37,9.006300099,25,11,7.017416922,4.841807977,7.012736914,0.340621317,0.20754717,1.548353104,5.143517676,99.56613721,0.03415095,0.000452,2257.5,19,-1919.0,29
82,25.72247655,80.24595333,0.392118184,0.722067735,26,14,20,26,31,36,8.958010568,26,11,6.936093653,4.771709144,6.923560997,0.348256147,0.215686275,1.540724247,5.118175162,96.86120076,0.034911115,0.00048,2205.5,19,-1789.0,29
83,32.38241295,140.4029202,0.504214169,-0.319978604,31,19,23,31,40,49,11.84917382,25,17,9.760346529,7.145394972,9.686839511,0.365913863,0.26984127,1.648792451,5.477169965,126.9997758,0.025950729,0.000771,500.0,24,-325.0,26
84,33.41389349,84.76952077,0.704947698,0.64312841,32,23,27,32,38,46,9.207036481,29,11,7.179778952,4.966513503,7.132775633,0.275545156,0.169230769,1.548588617,5.144300034,132.6113898,0.034247474,0.000724,770.5,24,-703.5,30
85,28.42252001,101.559103,0.305316661,-0.305324293,28,16,21,28,36,42,10.07765365,23,15,8.254617946,6.161342974,8.231778629,0.354565803,0.263157895,1.598137803,5.308898867,107.0285519,0.028994495,0.00071,725.5,19,-545.5,17
86,31.20503247,84.85687944,0.074937706,-0.026717528,31,19,25,31,37,43,9.211779385,30,12,7.263247386,5.052751454,7.259253247,0.295201724,0.193548387,1.562963487,5.19205232,119.9443435,0.032533297,0.000542,927.0,28,-1027.5,37
87,28.65022987,60.8294718,0.375818904,0.433298769,29,18,23,29,33,39,7.799325086,30,10,6.22615179,4.757783802,6.22558309,0.272225568,0.178571429,1.484256723,4.930594107,110.5719809,0.038694231,0.000601,1133.5,15,-1337.0,34
88,24.44127038,117.1666695,-0.091375492,-0.288754374,26,9,16,26,32,37,10.82435538,29,16,8.903268368,6.69754744,8.795109768,0.442872044,0.333333333,1.580444085,5.250121608,92.41855363,0.029341302,0.000645,954.5,26,-1537.0,1
89,26.92475115,121.5200223,-0.025432349,-0.780778074,28,11,18,28,36,41,11.02361203,14,18,9.294900735,7.423396231,9.277270617,0.409422987,0.333333333,1.605907417,5.334708967,103.4920122,0.027212153,0.000592,964.5,13,-746.0,12
90,25.26262867,139.3811628,-0.174848136,-0.506140063,26,8,17,26,33,40,11.80597996,26,16,9.585724389,7.070161649,9.5194275,0.46732983,0.32,1.604100382,5.328706125,90.78757178,0.028213562,0.000669,843.5,3,-2432.0,1
91,24.12431694,135.2080426,0.514687972,-0.456482342,22,10,15,22,32,41,11.62789932,18,17,9.711713921,7.550737119,9.638251366,0.481999111,0.361702128,1.634178883,5.428624744,73.12683572,0.026631245,0.001907393,89.0,12,-107.0,19
92,26.09270965,160.7968551,0.595477559,-0.310622174,23,12,16,23,35,44,12.68056998,19,19,10.48599467,7.745968877,10.36564124,0.485981339,0.37254902,1.655602534,5.499792572,70.53185577,0.0263452,0.001923717,129.5,18,-102.5,16
