CaseID,Split_0,Split_1,Split_2,Split_3,Split_4
89,train,train,train,train,test
90,train,train,test,train,train
91,train,train,test,train,train
92,train,train,train,train,test
93,train,train,test,train,train
94,train,train,train,train,test
95,train,train,test,train,train
96,train,train,train,train,test
97,train,train,train,train,test
98,train,train,train,train,test
99,train,train,train,train,test
100,train,train,train,test,train
101,train,train,train,train,test
102,train,test,train,train,train
103,train,test,train,train,train
104,train,test,train,train,train
105,train,train,test,train,train
106,train,train,test,train,train
107,train,train,test,train,train
108,train,train,test,train,train
109,test,train,train,train,train
110,train,train,test,train,train
111,train,test,train,train,train
112,train,train,train,test,train
113,train,train,train,test,train
114,train,train,train,train,test
115,train,train,train,test,train
116,train,train,train,test,train
117,train,train,test,train,train
118,train,train,test,train,train
119,train,test,train,train,train
120,train,test,train,train,train
121,train,train,train,test,train
122,test,train,train,train,train
123,train,train,train,test,train
124,train,train,train,test,train
125,train,train,train,train,test
126,test,train,train,train,train
127,test,train,train,train,train
128,train,test,train,train,train
129,test,train,train,train,train
130,test,train,train,train,train
131,train,test,train,train,train
132,train,train,test,train,train
133,train,train,test,train,train
134,train,train,test,train,train
135,test,train,train,train,train
136,train,train,train,train,test
137,train,train,test,train,train
138,test,train,train,train,train
139,train,train,test,train,train
140,train,train,train,test,train
141,train,train,test,train,train
142,train,train,train,train,test
143,test,train,train,train,train
144,train,test,train,train,train
145,train,test,train,train,train
146,train,train,train,test,train
147,train,train,train,test,train
148,train,train,train,test,train
149,test,train,train,train,train
150,train,test,train,train,train
151,test,train,train,train,train
152,train,train,train,test,train
153,train,train,train,test,train
154,train,train,train,test,train
155,train,train,test,train,train
156,train,train,train,train,test
157,train,test,train,train,train
158,train,train,train,train,test
159,test,train,train,train,train
160,train,train,test,train,train
161,train,train,train,test,train
162,train,train,train,train,test
163,train,test,train,train,train
164,train,test,train,train,train
165,train,train,train,train,test
166,test,train,train,train,train
167,train,train,train,test,train
168,train,train,train,train,test
169,train,test,train,train,train
170,test,train,train,train,train
171,test,train,train,train,train
172,train,train,train,train,test
173,train,test,train,train,train
174,test,train,train,train,train
175,train,train,train,train,test
176,train,train,train,test,train
177,test,train,train,train,train
178,train,train,train,test,train
179,train,test,train,train,train
180,test,train,train,train,train
181,train,test,train,train,train
182,train,train,train,train,test
183,train,train,train,test,train
184,test,train,train,train,train
185,train,test,train,train,train
186,test,train,train,train,train
187,train,test,train,train,train
188,train,train,train,test,train
189,train,train,test,train,train
190,train,train,train,train,test
191,train,test,train,train,train
192,test,train,train,train,train
193,train,train,train,test,train
194,train,train,test,train,train
195,train,train,test,train,train
196,train,test,train,train,train
197,train,train,train,train,test
198,test,train,train,train,train
199,train,test,train,train,train
200,train,test,train,train,train
201,train,train,train,train,test
202,train,train,test,train,train
203,train,test,train,train,train
204,test,train,train,train,train
205,test,train,train,train,train
206,train,train,test,train,train
207,train,train,train,test,train
208,train,train,test,train,train
210,train,train,test,train,train
211,train,train,test,train,train
212,test,train,train,train,train
214,train,train,train,test,train
215,train,train,train,train,test
216,train,train,test,train,train
217,train,train,test,train,train
218,train,train,test,train,train
219,train,train,train,train,test
220,test,train,train,train,train
221,train,train,train,train,test
222,train,train,test,train,train
223,train,train,train,train,test
224,train,train,train,train,test
225,train,train,train,test,train
226,test,train,train,train,train
227,train,test,train,train,train
228,train,train,train,test,train
229,train,test,train,train,train
230,train,test,train,train,train
231,train,test,train,train,train
232,train,train,train,train,test
233,train,test,train,train,train
234,train,train,train,train,test
235,train,train,test,train,train
236,train,train,test,train,train
237,train,train,test,train,train
238,train,train,train,test,train
239,train,train,train,test,train
240,train,test,train,train,train
241,test,train,train,train,train
242,test,train,train,train,train
243,train,train,train,train,test
244,train,test,train,train,train
245,train,test,train,train,train
246,train,train,train,test,train
247,train,test,train,train,train
248,train,test,train,train,train
249,test,train,train,train,train
250,train,train,test,train,train
251,train,train,train,test,train
252,train,train,test,train,train
253,train,train,train,test,train
254,train,train,train,test,train
255,train,train,train,train,test
256,train,test,train,train,train
